,n,range,value
444,10,"(0.333, 0.665]",0.15155146862855556
445,10,"(0.333, 0.665]",0.15155146862855556
446,10,"(0.665, 0.998]",0.2770248334379306
447,10,"(0.333, 0.665]",0.15973831368749047
448,10,"(0.333, 0.665]",0.03572393888784169
449,10,"(0.333, 0.665]",0.10917036530169001
450,10,"(0.333, 0.665]",0.1522006953442532
451,10,"(-0.000964, 0.333]",0.020433667972645408
452,10,"(-0.000964, 0.333]",7.967526310606681e-05
453,10,"(-0.000964, 0.333]",7.967526311007904e-05
454,10,"(-0.000964, 0.333]",0.3861433078622776
455,10,"(-0.000964, 0.333]",0.1619706551321088
456,10,"(-0.000964, 0.333]",0.5158123279300713
457,10,"(-0.000964, 0.333]",0.09519431187011919
458,10,"(-0.000964, 0.333]",0.05698000115118047
459,10,"(-0.000964, 0.333]",0.014274474835653113
460,10,"(-0.000964, 0.333]",0.013055097188351523
461,10,"(-0.000964, 0.333]",0.02030542809396044
462,10,"(-0.000964, 0.333]",0.37156248745433257
463,10,"(-0.000964, 0.333]",0.092448485503755
464,10,"(-0.000964, 0.333]",0.03865802491248265
465,10,"(-0.000964, 0.333]",0.12663199444556722
466,10,"(-0.000964, 0.333]",0.3015961222900664
467,10,"(-0.000964, 0.333]",0.010840337394734553
468,10,"(-0.000964, 0.333]",0.038736398704923306
469,10,"(-0.000964, 0.333]",0.038758786100826365
470,10,"(0.333, 0.665]",0.3063388172538954
471,10,"(0.333, 0.665]",0.17755858905501498
472,10,"(0.333, 0.665]",0.04729998441198276
473,10,"(0.333, 0.665]",0.19031826062563192
474,10,"(0.333, 0.665]",0.18970325578369368
475,10,"(0.333, 0.665]",0.16433543474339615
476,10,"(0.333, 0.665]",0.039942881711411
477,10,"(-0.000964, 0.333]",0.04224577044621498
478,10,"(0.665, 0.998]",0.19273018073551923
479,10,"(0.333, 0.665]",0.04158429776343331
480,10,"(0.333, 0.665]",0.12172328254602743
481,10,"(-0.000964, 0.333]",0.14822813454690945
482,10,"(-0.000964, 0.333]",0.21362922998640343
483,10,"(-0.000964, 0.333]",0.1777742150695808
484,10,"(-0.000964, 0.333]",0.05718278812762949
485,10,"(-0.000964, 0.333]",0.056911452765646756
486,10,"(-0.000964, 0.333]",0.2622759120676185
487,10,"(-0.000964, 0.333]",0.19876900211709722
488,10,"(-0.000964, 0.333]",0.06938253389689206
489,10,"(-0.000964, 0.333]",0.11514781813527175
490,10,"(-0.000964, 0.333]",0.3454972536296484
491,10,"(-0.000964, 0.333]",0.1354988807065993
492,10,"(-0.000964, 0.333]",0.13043828885307576
493,10,"(-0.000964, 0.333]",0.15126660411609996
494,10,"(0.665, 0.998]",0.0042508874171061205
495,10,"(0.665, 0.998]",0.09109561593900496
496,10,"(0.333, 0.665]",0.21817980909033666
497,10,"(0.333, 0.665]",0.15366914248445507
498,10,"(-0.000964, 0.333]",0.08201061008509805
499,10,"(-0.000964, 0.333]",0.05556253580822467
500,10,"(-0.000964, 0.333]",0.04916946828434167
501,10,"(-0.000964, 0.333]",0.04752390891230528
502,10,"(0.665, 0.998]",0.25429236135484107
503,10,"(0.665, 0.998]",0.25699872623557757
504,10,"(0.333, 0.665]",0.22515544960972025
505,10,"(0.333, 0.665]",0.127350745472715
506,10,"(-0.000964, 0.333]",0.36924154768333967
507,10,"(-0.000964, 0.333]",0.2724572614724959
508,10,"(-0.000964, 0.333]",0.29030056134661925
509,10,"(-0.000964, 0.333]",0.2773354519136558
510,10,"(0.665, 0.998]",0.43950986139672904
511,10,"(0.333, 0.665]",0.012710062253313706
512,10,"(-0.000964, 0.333]",0.13798523752446643
513,10,"(-0.000964, 0.333]",0.05128867646230334
514,10,"(-0.000964, 0.333]",0.0633322567111662
515,10,"(-0.000964, 0.333]",0.25228034593021276
516,10,"(-0.000964, 0.333]",0.20584920218362476
517,10,"(-0.000964, 0.333]",0.3768514301302784
518,10,"(0.665, 0.998]",0.5312943726258739
519,10,"(0.665, 0.998]",0.5750392355247432
520,10,"(0.665, 0.998]",0.06654179095572132
521,10,"(-0.000964, 0.333]",0.13302800689610497
522,10,"(-0.000964, 0.333]",0.13302800689610497
523,10,"(-0.000964, 0.333]",0.13302800689610497
524,10,"(-0.000964, 0.333]",0.11956362095386316
525,10,"(-0.000964, 0.333]",0.11956362095386326
526,10,"(0.333, 0.665]",0.5124696130950003
527,10,"(-0.000964, 0.333]",0.5616591804856426
528,10,"(-0.000964, 0.333]",0.047410768830601906
529,10,"(-0.000964, 0.333]",0.6340979381571052
530,10,"(-0.000964, 0.333]",0.6422018904743643
531,10,"(-0.000964, 0.333]",0.6422018904743643
532,10,"(-0.000964, 0.333]",0.09728028815162615
533,10,"(-0.000964, 0.333]",0.0974089501077178
534,10,"(0.333, 0.665]",0.271672630104134
535,10,"(0.333, 0.665]",0.25412214161522406
536,10,"(0.333, 0.665]",0.24789582288244566
