,ps1_disc,error_diff
885,"(0.6, 0.8]",0.39534017928193077
886,"(0.8, 1.0]",0.39049484450396876
887,"(0.8, 1.0]",0.21981963177678762
888,"(0.8, 1.0]",0.10666933002466732
889,"(0.8, 1.0]",0.018718392172919252
905,"(1e-06, 0.201]",0.6412084886417678
906,"(0.201, 0.401]",0.6288114216225966
907,"(0.201, 0.401]",0.6243090603392929
908,"(0.401, 0.6]",0.5805414646156188
909,"(0.401, 0.6]",0.41329375751745406
910,"(0.401, 0.6]",1.2102207815188049
911,"(0.6, 0.8]",0.6676200429390097
916,"(1e-06, 0.201]",0.4176043598396376
917,"(0.6, 0.8]",0.4867375655838924
918,"(0.6, 0.8]",0.5207234891881725
919,"(0.6, 0.8]",0.4679815195948943
920,"(0.8, 1.0]",0.04057631475094554
921,"(0.8, 1.0]",0.002330596172761847
922,"(0.8, 1.0]",0.03445299201473434
927,"(1e-06, 0.201]",0.6086256554626347
928,"(1e-06, 0.201]",0.5781316065357371
