,N,dovar,obsvar,target,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
71,21,0,-1,1,7404,6,CCALPeps,8024.674400000001,8018.0628,0.1899838033199088,0.19995900430021102,4.0995699788992646e-05,0.010016196680091193
72,21,0,-1,1,8638,6,CVE,,,,,,
73,21,0,-1,1,8638,6,CCALPeps,7575.1792000000005,7568.5336,0.014017200279572073,0.014023394421081853,0.18597660557891815,0.18598279972042792
74,21,0,-1,1,9872,6,CVE,,,,,,
75,21,0,-1,1,9872,6,CCALPeps,7482.388400000001,7475.967600000001,0.006041993160747912,0.04400359916033199,0.155996400839668,0.19395800683925207
76,21,0,-1,1,11106,6,CVE,,,,,,
77,21,0,-1,1,11106,6,CCALPeps,7890.700199999999,7883.092600000001,0.01605118800188771,0.1759432139977683,0.02405678600223169,0.18394881199811228
78,21,0,-1,1,12340,6,CVE,,,,,,
79,21,0,-1,1,12340,6,CCALPeps,8412.978599999999,8406.5476,0.06004758945935178,0.11597680447946915,0.08402319552053086,0.13995241054064822
80,22,0,-1,,1234,6,CVE,,,,,,
81,22,0,-1,,1234,6,CCALPeps,7973.191199999999,7965.926800000001,0.19380787509709999,0.19380787858695586,0.006192121413044157,0.006192124902900021
82,22,0,-1,,2468,6,CVE,,,,,,
83,22,0,-1,,2468,6,CCALPeps,8578.893800000002,8572.5128,0.009887427489174223,0.009888241760641035,0.19011175823935897,0.19011257251082578
84,22,0,-1,,3702,6,CVE,,,,,,
85,22,0,-1,,3702,6,CCALPeps,7992.5549999999985,7985.542200000001,0.015102663516266799,0.0151126086274359,0.1848873913725641,0.18489733648373322
86,22,0,-1,,4936,6,CVE,,,,,,
87,22,0,-1,,4936,6,CCALPeps,7229.2428,7222.549800000001,0.0052779764347227285,0.005277976434722736,0.19472202356527726,0.1947220235652773
88,22,0,-1,,6170,6,CVE,,,,,,
89,22,0,-1,,6170,6,CCALPeps,7791.3458,7783.770999999999,0.08809748691506103,0.08810036034817526,0.11189963965182474,0.11190251308493897
90,22,0,-1,,7404,6,CVE,,,,,,
91,22,0,-1,,7404,6,CCALPeps,8559.468400000002,8552.2536,0.07021624001848156,0.07022488411796515,0.12977511588203483,0.12978375998151842
92,22,0,-1,,8638,6,CVE,,,,,,
93,22,0,-1,,8638,6,CCALPeps,7886.850200000001,7880.3554,0.006825870127120379,0.006825890609174362,0.19317410939082563,0.19317412987287963
94,22,0,-1,,9872,6,CVE,,,,,,
95,22,0,-1,,9872,6,CCALPeps,8315.4626,8307.8654,0.03607985905820872,0.03608241406968985,0.16391758593031014,0.16392014094179128
96,22,0,-1,,11106,6,CVE,,,,,,
97,22,0,-1,,11106,6,CCALPeps,7041.524800000001,7034.731999999999,0.16905698235950997,0.16905698235951,0.03094301764048999,0.03094301764049003
98,22,0,-1,,12340,6,CVE,,,,,,
99,22,0,-1,,12340,6,CCALPeps,8053.337999999999,8046.8238,0.17176012702705884,0.17176014329389036,0.02823985670610965,0.02823987297294117
100,22,0,-1,1,1234,6,CVE,,,,,,
101,22,0,-1,1,1234,6,CCALPeps,7229.198199999999,7221.747,0.002019999940267766,0.0020243926223319645,0.19797560737766803,0.19798000005973224
102,22,0,-1,1,2468,6,CVE,,,,,,
103,22,0,-1,1,2468,6,CCALPeps,8529.6478,8522.8724,0.1679696083984242,0.16798639536166377,0.032013604638336246,0.032030391601575794
104,22,0,-1,1,3702,6,CVE,,,,,,
105,22,0,-1,1,3702,6,CCALPeps,8700.2836,8692.244999999999,7.498150294956835e-05,0.1939168211965925,0.006083178803407505,0.1999250184970504
106,22,0,-1,1,4936,6,CVE,,,,,,
107,22,0,-1,1,4936,6,CCALPeps,8381.144400000001,8371.5942,0.05805678664190371,0.1999580065993001,4.199340069990232e-05,0.1419432133580963
108,22,0,-1,1,6170,6,CVE,,,,,,
109,22,0,-1,1,6170,6,CCALPeps,7416.907399999999,7410.4956,0.006018204291760022,0.0060379883557283775,0.19396201164427163,0.19398179570823998
110,22,0,-1,1,7404,6,CVE,,,,,,
111,22,0,-1,1,7404,6,CCALPeps,7723.653000000001,7715.130999999999,0.12998800436077967,0.12998959988206069,0.07001040011793931,0.07001199563922031
112,22,0,-1,1,8638,6,CVE,,,,,,
113,22,0,-1,1,8638,6,CCALPeps,8218.338,8211.724400000001,0.016048988661777737,0.07799040375934416,0.12200959624065584,0.18395101133822228
114,22,0,-1,1,9872,6,CVE,,,,,,
115,22,0,-1,1,9872,6,CCALPeps,8191.5908,8185.167600000001,0.14802079184142375,0.19994521243806027,5.478756193975087e-05,0.05197920815857624
116,22,0,-1,1,11106,6,CVE,,,,,,
117,22,0,-1,1,11106,6,CCALPeps,7384.295,7377.323199999999,0.08400639872019192,0.08400639872019204,0.11599360127980796,0.1159936012798081
118,22,0,-1,1,12340,6,CVE,,,,,,
