,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
301,8,0,-1,1234,6,CCVE,137.1386,38.409000000000006,0.1256299527650504,0.1256299527650504,0.07437004723494961,0.07437004723494961
302,8,0,-1,1234,6,CCALPeps,1332.6124,1328.6974,0.12561438679162193,0.12562207407736808,0.07437792592263193,0.07438561320837808
303,8,0,-1,2468,6,CVE,4.8092,4.2048,0.08419720808871495,0.08419720808871495,0.11580279191128505,0.11580279191128505
304,8,0,-1,2468,6,CCVE,136.72740000000002,33.226800000000004,0.08419720808871495,0.08419720808871495,0.11580279191128505,0.11580279191128505
305,8,0,-1,2468,6,CCALPeps,1337.4987999999996,1333.3262,0.08418548343881578,0.08418755417763488,0.11581244582236512,0.11581451656118424
306,8,0,-1,3702,6,CVE,4.3816000000000015,3.782,0.0401100358087525,0.0401100358087525,0.1598899641912475,0.1598899641912475
307,8,0,-1,3702,6,CCVE,,,,,,
308,8,0,-1,3702,6,CCALPeps,1307.3138,1303.3926,0.03999661181714091,0.04371272033141939,0.15628727966858064,0.16000338818285909
309,8,0,-1,4936,6,CVE,5.0532,4.456,0.1390674,0.1390674,0.0609326,0.0609326
310,8,0,-1,4936,6,CCVE,141.6642,30.1456,0.1390674,0.1390674,0.06093260000000001,0.06093260000000001
311,8,0,-1,4936,6,CCALPeps,1657.8224000000002,1652.8586,0.13904547559662367,0.13904736622110525,0.06095263377889475,0.06095452440337633
312,8,0,-1,6170,6,CVE,4.5496,3.948,0.19268256602410969,0.19268256602410969,0.007317433975890356,0.007317433975890356
313,8,0,-1,6170,6,CCVE,145.985,35.1052,0.19268256602410969,0.19268256602410969,0.0073174339758903546,0.0073174339758903546
314,8,0,-1,6170,6,CCALPeps,1547.2887999999994,1543.2193999999995,0.1926640649481589,0.19266430663642006,0.007335693363579848,0.0073359350518410905
315,8,0,-1,7404,6,CVE,4.9358,4.310599999999999,0.18787314800068616,0.18787314800068616,0.012126851999313834,0.012126851999313834
316,8,0,-1,7404,6,CCVE,,,,,,
