,N,dovar,obsvar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
374,9,0,-1,6170,6,CCALPeps,2866.4962,2862.2094,0.08629662504635209,0.08629662504635224,0.11370337495364775,0.1137033749536479
375,9,0,-1,7404,6,CVE,236.4542,235.8826,0.12471984317691798,0.12471984317691798,0.07528015682308202,0.07528015682308202
376,9,0,-1,7404,6,CCVE,17310.137799999997,17091.759,0.12471984317691798,0.12471984317691798,0.07528015682308202,0.07528015682308202
377,9,0,-1,7404,6,CCALPeps,2535.9706,2531.5844,0.12471800969271535,0.12471800969271547,0.07528199030728452,0.07528199030728464
378,9,0,-1,8638,6,CVE,250.3838,249.7412,0.035941069164065115,0.035941069164065115,0.16405893083593487,0.16405893083593487
379,9,0,-1,8638,6,CCVE,16497.258800000003,16262.1288,0.0359410691640651,0.0359410691640651,0.16405893083593487,0.16405893083593487
380,9,0,-1,8638,6,CCALPeps,2387.1202,2382.96,0.03598226603170994,0.035982266031709995,0.16401773396829,0.16401773396829006
381,9,0,-1,9872,6,CVE,237.34060000000005,236.794,0.14407338845949094,0.14407338845949094,0.05592661154050902,0.05592661154050902
382,9,0,-1,9872,6,CCVE,16564.8194,16340.6722,0.144073388459491,0.144073388459491,0.05592661154050901,0.05592661154050901
383,9,0,-1,9872,6,CCALPeps,2548.733,2544.4898000000007,0.14405245751881313,0.1440524575188132,0.0559475424811868,0.055947542481186864
384,9,0,-1,11106,6,CVE,239.1546,238.53099999999998,0.058697044483748614,0.058697044483748614,0.14130295551625138,0.14130295551625138
385,9,0,-1,11106,6,CCVE,15176.534000000005,14983.492800000002,0.05869704448374863,0.05869704448374863,0.14130295551625138,0.14130295551625138
386,9,0,-1,11106,6,CCALPeps,2458.1664,2453.6806,0.058704478944349464,0.05870447894434955,0.14129552105565046,0.14129552105565052
387,9,0,-1,12340,6,CVE,261.5312,260.87800000000004,0.0525082483346499,0.0525082483346499,0.14749175166535008,0.14749175166535008
388,9,0,-1,12340,6,CCVE,16376.544199999998,16160.7748,0.0525082483346499,0.0525082483346499,0.1474917516653501,0.1474917516653501
389,9,0,-1,12340,6,CCALPeps,2966.1772,2961.695,0.05253650152237877,0.05253650152237884,0.14746349847762116,0.14746349847762125
420,10,0,-1,1234,6,CVE,1614.9265999999998,1614.0078,0.00875842647165012,0.00875842647165012,0.1912415735283499,0.1912415735283499
421,10,0,-1,1234,6,CCVE,87516.2262,87305.9316,0.008758426471650128,0.008758426471650128,0.19124157352834986,0.19124157352834986
422,10,0,-1,1234,6,CCALPeps,3155.3628,3150.7988,0.008779353837750014,0.008779353837750033,0.19122064616225,0.19122064616225
423,10,0,-1,2468,6,CVE,1631.2996,1630.4632,0.10022121206165746,0.10022121206165746,0.09977878793834256,0.09977878793834256
424,10,0,-1,2468,6,CCVE,92629.53800000002,92418.0874,0.10022121206165746,0.10022121206165746,0.09977878793834252,0.09977878793834252
425,10,0,-1,2468,6,CCALPeps,2626.3734,2621.9659999999994,0.10022159084383428,0.1002215908438344,0.0997784091561656,0.09977840915616573
426,10,0,-1,3702,6,CVE,1641.2998000000002,1640.395,0.18766161494814307,0.18766161494814307,0.012338385051856944,0.012338385051856944
427,10,0,-1,3702,6,CCVE,85755.28560000003,85558.4874,0.18766161494814307,0.18766161494814307,0.012338385051856946,0.012338385051856946
