,N,dovar,obsvar,seed,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1,lowerbound2,upperbound2
89,7,0,-1,12340,CCALPeps,1751.0291999999997,1746.8446,0.021821225262001913,0.03153207211779688,0.16846792788220313,0.1781787747379981,,
90,9,0,-1,1234,CVE,8.9322,8.3258,0.010876596543951915,0.010876596543951915,0.03720394440270474,0.03720394440270474,0.15191945905334336,0.15191945905334336
91,9,0,-1,1234,CCVE,265.466,146.8464,0.010873628850488357,0.010962659654395194,0.037072667167543205,0.03819625845229151,0.15093011269722015,0.15196467317806162
92,9,0,-1,1234,CCALPeps,5333.7536,5328.7528,0.010876898495365548,0.010965536922516969,0.03718245707002392,0.03810353192996283,0.1509309311475202,0.15194064443461053
93,9,0,-1,2468,CVE,8.5372,7.9612,0.019906399999999998,0.019906399999999998,0.0884576,0.0884576,0.09163600000000001,0.09163600000000001
94,9,0,-1,2468,CCVE,221.1062,105.43799999999999,0.019906399999999998,0.019906399999999998,0.0884576,0.0884576,0.09163599999999998,0.09163599999999998
95,9,0,-1,2468,CCALPeps,4221.573399999999,4216.2246,0.019912762039372582,0.01991819639936232,0.08846196075226552,0.08848852873443755,0.09159870922618987,0.0916198428483722
96,9,0,-1,3702,CVE,9.463199999999999,8.8848,0.1513769856272073,0.1513769856272073,0.007855560412394828,0.007855560412394828,0.040767453960397895,0.040767453960397895
97,9,0,-1,3702,CCVE,226.791,100.47939999999998,0.15137698562720728,0.15137698562720728,0.007855560412394828,0.007855560412394828,0.040767453960397895,0.040767453960397895
98,9,0,-1,3702,CCALPeps,3919.8376000000003,3914.4413999999997,0.15131841974971766,0.15132184366413395,0.007914319660455695,0.007917398938825936,0.04076309049518542,0.04076492750996025
99,9,0,-1,4936,CVE,10.1612,9.536200000000001,0.10182949711299394,0.10182949711299394,0.006753370494232694,0.006753370494232694,0.09141713239277337,0.09141713239277337
100,9,0,-1,4936,CCVE,230.2524,111.968,0.10182949711299397,0.10182949711299397,0.006753370494232693,0.006753370494232693,0.09141713239277335,0.09141713239277335
101,9,0,-1,4936,CCALPeps,4994.830400000001,4989.777399999999,0.10179027616479655,0.10180026712138383,0.006782142833322064,0.006787955301384363,0.09141759004529407,0.09142176853381909
