,N,dovar,seed,exovarsize,method,time,query_time,lowerbound0,upperbound0,lowerbound1,upperbound1
155,35,0,2468,6,CCALPeps,8851.9694,8793.778999999999,0.02383172902307778,0.02383182131200799,0.176168178687992,0.17616827097692223
156,35,0,3702,6,CVE,,,,,,
157,35,0,3702,6,CCVE,,,,,,
158,35,0,3702,6,CCALPeps,,,,,,
159,35,0,4936,6,CVE,,,,,,
160,35,0,4936,6,CCVE,,,,,,
161,35,0,4936,6,CCALPeps,7411.2288,7350.8719999999985,0.0669620142753217,0.06696201427532181,0.1330379857246782,0.13303798572467831
162,35,0,6170,6,CVE,,,,,,
163,35,0,6170,6,CCVE,,,,,,
164,35,0,6170,6,CCALPeps,8553.4882,8492.077000000001,0.011452330279523451,0.011452332435845284,0.1885476675641547,0.18854766972047654
165,35,0,7404,6,CVE,,,,,,
166,35,0,7404,6,CCVE,,,,,,
167,35,0,7404,6,CCALPeps,8336.3282,8276.0754,0.17315602128370539,0.1731588221349944,0.026841177865005617,0.026843978716294598
168,35,0,8638,6,CVE,,,,,,
169,35,0,8638,6,CCVE,,,,,,
170,35,0,8638,6,CCALPeps,7623.854799999999,7566.5072,0.10230969076215679,0.10231199569854817,0.09768800430145183,0.09769030923784319
171,35,0,9872,6,CVE,,,,,,
172,35,0,9872,6,CCVE,,,,,,
173,35,0,9872,6,CCALPeps,7229.1212,7172.364599999999,0.08567252887966612,0.08567252889538625,0.11432747110461375,0.11432747112033388
174,35,0,11106,6,CVE,,,,,,
175,35,0,11106,6,CCVE,,,,,,
176,35,0,11106,6,CCALPeps,8066.748799999999,8007.471799999999,0.11199675269740679,0.11272762390896233,0.08727237609103768,0.08800324730259321
177,35,0,12340,6,CVE,,,,,,
178,35,0,12340,6,CCVE,,,,,,
179,35,0,12340,6,CCALPeps,9363.929999999998,9301.5314,0.1394495563911176,0.13947862159542315,0.06052137840457685,0.06055044360888238
180,36,0,1234,6,CVE,,,,,,
181,36,0,1234,6,CCVE,,,,,,
182,36,0,1234,6,CCALPeps,8791.857,8718.9386,0.01447616594341855,0.014476463291790937,0.18552353670820906,0.18552383405658146
183,36,0,2468,6,CVE,,,,,,
184,36,0,2468,6,CCVE,,,,,,
185,36,0,2468,6,CCALPeps,8353.0918,8293.5792,0.1619718099778863,0.16198759924047595,0.03801240075952404,0.0380281900221137
186,36,0,3702,6,CVE,,,,,,
187,36,0,3702,6,CCVE,,,,,,
188,36,0,3702,6,CCALPeps,,,,,,
189,36,0,4936,6,CVE,,,,,,
190,36,0,4936,6,CCVE,,,,,,
191,36,0,4936,6,CCALPeps,8541.013,8474.069800000001,0.1881370295636741,0.18813862508495388,0.011861374915046108,0.011862970436325915
192,36,0,6170,6,CVE,,,,,,
193,36,0,6170,6,CCVE,,,,,,
194,36,0,6170,6,CCALPeps,8911.9784,8848.5854,0.062314744116310015,0.06232066141493338,0.13767933858506662,0.13768525588369
195,36,0,7404,6,CVE,,,,,,
196,36,0,7404,6,CCVE,,,,,,
197,36,0,7404,6,CCALPeps,9086.807599999998,9027.753,0.18593773201684113,0.18593877824963104,0.014061221750368969,0.01406226798315886
198,36,0,8638,6,CVE,,,,,,
199,36,0,8638,6,CCVE,,,,,,
200,36,0,8638,6,CCALPeps,9324.32,9254.393800000002,0.011216822815164429,0.011217278336190396,0.1887827216638096,0.18878317718483556
201,36,0,9872,6,CVE,,,,,,
202,36,0,9872,6,CCVE,,,,,,
203,36,0,9872,6,CCALPeps,7940.496400000001,7881.431600000001,0.19320731489491913,0.19320731489882984,0.006792685101170171,0.006792685105080865
204,36,0,11106,6,CVE,,,,,,
205,36,0,11106,6,CCVE,,,,,,
206,36,0,11106,6,CCALPeps,9263.5602,9199.141,0.07222507785372403,0.07346851443135768,0.1265314855686423,0.12777492214627598
207,36,0,12340,6,CVE,,,,,,
208,36,0,12340,6,CCVE,,,,,,
209,36,0,12340,6,CCALPeps,10349.2774,10271.2024,0.13034455139431605,0.13035088111819987,0.06964911888180014,0.06965544860568396
210,37,0,1234,6,CVE,,,,,,
211,37,0,1234,6,CCVE,,,,,,
212,37,0,1234,6,CCALPeps,9935.5296,9869.0202,0.0878827518649707,0.08970413189484985,0.11029586810515016,0.1121172481350293
213,37,0,2468,6,CVE,,,,,,
214,37,0,2468,6,CCVE,,,,,,
215,37,0,2468,6,CCALPeps,8422.6042,8350.5778,0.06800560159942402,0.06800639736066395,0.13199360263933607,0.13199439840057597
216,37,0,3702,6,CVE,,,,,,
217,37,0,3702,6,CCVE,,,,,,
218,37,0,3702,6,CCALPeps,,,,,,
219,37,0,4936,6,CVE,,,,,,
220,37,0,4936,6,CCVE,,,,,,
221,37,0,4936,6,CCALPeps,8859.2158,8791.528799999998,0.09034792528232843,0.09034802071416101,0.10965197928583899,0.10965207471767155
222,37,0,6170,6,CVE,,,,,,
223,37,0,6170,6,CCVE,,,,,,
224,37,0,6170,6,CCALPeps,8693.7264,8625.135000000002,0.06797558150114229,0.06797558162061093,0.13202441837938908,0.1320244184988577
225,37,0,7404,6,CVE,,,,,,
226,37,0,7404,6,CCVE,,,,,,
227,37,0,7404,6,CCALPeps,8346.076599999999,8279.6282,0.12198880647841619,0.12199719596123586,0.07800280403876414,0.07801119352158381
228,37,0,8638,6,CVE,,,,,,
229,37,0,8638,6,CCVE,,,,,,
230,37,0,8638,6,CCALPeps,9129.757399999999,9054.5068,0.10202922302254527,0.10202922489728143,0.09797077510271857,0.09797077697745474
231,37,0,9872,6,CVE,,,,,,
232,37,0,9872,6,CCVE,,,,,,
233,37,0,9872,6,CCALPeps,8953.7562,8882.6646,0.03550341938587691,0.035742465678058645,0.16425753432194135,0.1644965806141231
234,37,0,11106,6,CVE,,,,,,
235,37,0,11106,6,CCVE,,,,,,
236,37,0,11106,6,CCALPeps,9749.8912,9675.1248,0.1841872483097427,0.18419070966768308,0.015809290332316907,0.01581275169025731
237,37,0,12340,6,CVE,,,,,,
238,37,0,12340,6,CCVE,,,,,,
239,37,0,12340,6,CCALPeps,8049.2552,7977.734399999999,0.08196661232148258,0.08196661232165628,0.11803338767834373,0.11803338767851743
240,38,0,1234,6,CVE,,,,,,
241,38,0,1234,6,CCVE,,,,,,
242,38,0,1234,6,CCALPeps,11827.9068,11758.094000000001,0.10011721069362156,0.10012312167563855,0.09987687832436146,0.09988278930637844
243,38,0,2468,6,CVE,,,,,,
244,38,0,2468,6,CCVE,,,,,,
245,38,0,2468,6,CCALPeps,11907.108600000001,11838.715,0.1775053846632556,0.17764448772821623,0.022355512271783784,0.022494615336744395
246,38,0,3702,6,CVE,,,,,,
247,38,0,3702,6,CCVE,,,,,,
248,38,0,3702,6,CCALPeps,,,,,,
249,38,0,4936,6,CVE,,,,,,
250,38,0,4936,6,CCVE,,,,,,
